,date,Employment (Thousands of People),GDP (Billions of Dollars),CPI (1982-1984=100%)
0,2000-01-01,131005.0,12935.252,169.3
1,2000-02-01,131124.0,,170.0
2,2000-03-01,131596.0,,171.0
3,2000-04-01,131888.0,13170.749,170.9
4,2000-05-01,132105.0,,171.2
5,2000-06-01,132061.0,,172.2
6,2000-07-01,132236.0,13183.89,172.7
7,2000-08-01,132230.0,,172.7
8,2000-09-01,132353.0,,173.6
9,2000-10-01,132351.0,13262.25,173.9
10,2000-11-01,132556.0,,174.2
11,2000-12-01,132709.0,,174.6
12,2001-01-01,132698.0,13219.251,175.6
13,2001-02-01,132789.0,,176.0
14,2001-03-01,132747.0,,176.1
15,2001-04-01,132463.0,13301.394,176.4
16,2001-05-01,132410.0,,177.3
17,2001-06-01,132299.0,,177.7
18,2001-07-01,132177.0,13248.142,177.4
19,2001-08-01,132028.0,,177.4
20,2001-09-01,131771.0,,178.1
21,2001-10-01,131454.0,13284.881,177.6
22,2001-11-01,131142.0,,177.5
23,2001-12-01,130982.0,,177.4
24,2002-01-01,130852.0,13394.91,177.7
25,2002-02-01,130736.0,,178.0
26,2002-03-01,130717.0,,178.5
27,2002-04-01,130623.0,13477.356,179.3
28,2002-05-01,130634.0,,179.5
29,2002-06-01,130684.0,,179.6
30,2002-07-01,130590.0,13531.741,180.0
31,2002-08-01,130587.0,,180.5
32,2002-09-01,130501.0,,180.8
33,2002-10-01,130628.0,13549.421,181.2
34,2002-11-01,130615.0,,181.5
35,2002-12-01,130472.0,,181.8
36,2003-01-01,130580.0,13619.434,182.6
37,2003-02-01,130444.0,,183.6
38,2003-03-01,130232.0,,183.9
39,2003-04-01,130177.0,13741.107,183.2
40,2003-05-01,130196.0,,182.9
41,2003-06-01,130194.0,,183.1
42,2003-07-01,130191.0,13970.157,183.7
43,2003-08-01,130149.0,,184.5
44,2003-09-01,130254.0,,185.1
45,2003-10-01,130454.0,14131.379,184.9
46,2003-11-01,130474.0,,185.0
47,2003-12-01,130588.0,,185.5
48,2004-01-01,130769.0,14212.34,186.3
49,2004-02-01,130825.0,,186.7
50,2004-03-01,131142.0,,187.1
51,2004-04-01,131411.0,14323.017,187.4
52,2004-05-01,131694.0,,188.2
53,2004-06-01,131793.0,,188.9
54,2004-07-01,131848.0,14457.832,189.1
55,2004-08-01,131937.0,,189.2
56,2004-09-01,132093.0,,189.8
57,2004-10-01,132447.0,14605.595,190.8
58,2004-11-01,132503.0,,191.7
59,2004-12-01,132624.0,,191.7
60,2005-01-01,132774.0,14767.846,191.6
61,2005-02-01,133032.0,,192.4
62,2005-03-01,133156.0,,193.1
63,2005-04-01,133518.0,14839.707,193.7
64,2005-05-01,133690.0,,193.6
65,2005-06-01,133942.0,,193.7
66,2005-07-01,134296.0,14956.291,194.9
67,2005-08-01,134498.0,,196.1
68,2005-09-01,134566.0,,198.8
69,2005-10-01,134655.0,15041.232,199.1
70,2005-11-01,134993.0,,198.1
71,2005-12-01,135149.0,,198.1
72,2006-01-01,135429.0,15244.088,199.3
73,2006-02-01,135737.0,,199.4
74,2006-03-01,136047.0,,199.7
75,2006-04-01,136205.0,15281.525,200.7
76,2006-05-01,136244.0,,201.3
77,2006-06-01,136325.0,,201.8
78,2006-07-01,136520.0,15304.517,202.9
79,2006-08-01,136694.0,,203.8
80,2006-09-01,136843.0,,202.8
81,2006-10-01,136852.0,15433.643,201.9
82,2006-11-01,137063.0,,202.0
83,2006-12-01,137249.0,,203.1
84,2007-01-01,137477.0,15478.956,203.437
85,2007-02-01,137558.0,,204.226
86,2007-03-01,137793.0,,205.288
87,2007-04-01,137842.0,15577.779,205.904
88,2007-05-01,137993.0,,206.755
89,2007-06-01,138069.0,,207.234
90,2007-07-01,138038.0,15671.605,207.603
91,2007-08-01,138015.0,,207.667
92,2007-09-01,138095.0,,208.547
93,2007-10-01,138174.0,15767.146,209.19
94,2007-11-01,138284.0,,210.834
95,2007-12-01,138392.0,,211.445
96,2008-01-01,138403.0,15702.906,212.174
97,2008-02-01,138324.0,,212.687
98,2008-03-01,138275.0,,213.448
99,2008-04-01,138035.0,15792.773,213.942
100,2008-05-01,137858.0,,215.208
101,2008-06-01,137687.0,,217.463
102,2008-07-01,137491.0,15709.562,219.016
103,2008-08-01,137213.0,,218.69
104,2008-09-01,136753.0,,218.877
105,2008-10-01,136272.0,15366.607,216.995
106,2008-11-01,135545.0,,213.153
107,2008-12-01,134839.0,,211.398
108,2009-01-01,134055.0,15187.475,211.933
109,2009-02-01,133312.0,,212.705
110,2009-03-01,132512.0,,212.495
111,2009-04-01,131817.0,15161.772,212.709
112,2009-05-01,131475.0,,213.022
113,2009-06-01,131008.0,,214.79
114,2009-07-01,130668.0,15216.647,214.726
115,2009-08-01,130485.0,,215.445
116,2009-09-01,130244.0,,215.861
117,2009-10-01,130045.0,15379.155,216.509
118,2009-11-01,130057.0,,217.234
119,2009-12-01,129788.0,,217.347
120,2010-01-01,129790.0,15456.059,217.488
121,2010-02-01,129698.0,,217.281
122,2010-03-01,129879.0,,217.353
123,2010-04-01,130110.0,15605.628,217.403
124,2010-05-01,130650.0,,217.29
125,2010-06-01,130511.0,,217.199
126,2010-07-01,130427.0,15726.282,217.605
127,2010-08-01,130422.0,,217.923
128,2010-09-01,130357.0,,218.275
129,2010-10-01,130625.0,15807.995,219.035
130,2010-11-01,130750.0,,219.59
131,2010-12-01,130822.0,,220.472
132,2011-01-01,130841.0,15769.911,221.187
133,2011-02-01,131053.0,,221.898
134,2011-03-01,131288.0,,223.046
135,2011-04-01,131602.0,15876.839,224.093
136,2011-05-01,131703.0,,224.806
137,2011-06-01,131939.0,,224.806
138,2011-07-01,131999.0,15870.684,225.395
139,2011-08-01,132125.0,,226.106
140,2011-09-01,132358.0,,226.597
141,2011-10-01,132562.0,16048.702,226.75
142,2011-11-01,132694.0,,227.169
143,2011-12-01,132896.0,,227.223
144,2012-01-01,133250.0,16179.968,227.842
145,2012-02-01,133512.0,,228.329
146,2012-03-01,133752.0,,228.807
147,2012-04-01,133834.0,16253.726,229.187
148,2012-05-01,133934.0,,228.713
149,2012-06-01,134007.0,,228.524
150,2012-07-01,134159.0,16282.151,228.59
151,2012-08-01,134331.0,,229.918
152,2012-09-01,134518.0,,231.015
153,2012-10-01,134677.0,16300.035,231.638
154,2012-11-01,134833.0,,231.249
155,2012-12-01,135072.0,,231.221
156,2013-01-01,135263.0,16441.485,231.679
157,2013-02-01,135541.0,,232.937
158,2013-03-01,135680.0,,232.282
159,2013-04-01,135871.0,16464.402,231.797
160,2013-05-01,136093.0,,231.893
161,2013-06-01,136274.0,,232.445
162,2013-07-01,136386.0,16594.743,232.9
163,2013-08-01,136628.0,,233.456
164,2013-09-01,136815.0,,233.544
165,2013-10-01,137040.0,16712.76,233.669
166,2013-11-01,137304.0,,234.1
167,2013-12-01,137373.0,,234.719
168,2014-01-01,137548.0,16654.247,235.288
169,2014-02-01,137714.0,,235.547
170,2014-03-01,137968.0,,236.028
171,2014-04-01,138293.0,16868.109,236.468
172,2014-05-01,138511.0,,236.918
173,2014-06-01,138837.0,,237.231
174,2014-07-01,139069.0,17064.616,237.498
175,2014-08-01,139257.0,,237.46
176,2014-09-01,139566.0,,237.477
177,2014-10-01,139818.0,17141.235,237.43
178,2014-11-01,140109.0,,236.983
179,2014-12-01,140377.0,,236.252
180,2015-01-01,140568.0,17280.647,234.747
181,2015-02-01,140839.0,,235.342
182,2015-03-01,140910.0,,235.976
183,2015-04-01,141194.0,17380.875,236.222
184,2015-05-01,141525.0,,237.001
185,2015-06-01,141699.0,,237.657
186,2015-07-01,142001.0,17437.08,238.034
187,2015-08-01,142126.0,,238.033
188,2015-09-01,142281.0,,237.498
189,2015-10-01,142587.0,17462.579,237.733
190,2015-11-01,142824.0,,238.017
191,2015-12-01,143097.0,,237.761
192,2016-01-01,143205.0,17565.465,237.652
193,2016-02-01,143417.0,,237.336
194,2016-03-01,143654.0,,238.08
195,2016-04-01,143851.0,17618.581,238.992
196,2016-05-01,143892.0,,239.557
197,2016-06-01,144150.0,,240.222
198,2016-07-01,144521.0,17724.489,240.101
199,2016-08-01,144664.0,,240.545
200,2016-09-01,144953.0,,241.176
201,2016-10-01,145071.0,17812.56,241.741
202,2016-11-01,145201.0,,242.026
203,2016-12-01,145415.0,,242.637
204,2017-01-01,145612.0,17896.623,243.62
205,2017-02-01,145795.0,,243.872
206,2017-03-01,145934.0,,243.766
207,2017-04-01,146154.0,17996.802,244.274
208,2017-05-01,146295.0,,244.069
209,2017-06-01,146506.0,,244.218
210,2017-07-01,146734.0,18126.226,244.28
211,2017-08-01,146924.0,,245.205
212,2017-09-01,146966.0,,246.551
213,2017-10-01,147215.0,18296.685,246.657
214,2017-11-01,147411.0,,247.378
215,2017-12-01,147590.0,,247.736
216,2018-01-01,147671.0,18436.262,248.721
217,2018-02-01,148049.0,,249.3
218,2018-03-01,148244.0,,249.517
219,2018-04-01,148397.0,18590.004,250.275
220,2018-05-01,148667.0,,250.786
221,2018-06-01,148881.0,,251.152
222,2018-07-01,149030.0,18679.599,251.345
223,2018-08-01,149259.0,,251.735
224,2018-09-01,149364.0,,252.183
225,2018-10-01,149576.0,18721.281,252.899
226,2018-11-01,149668.0,,252.822
227,2018-12-01,149908.0,,252.493
228,2019-01-01,150145.0,18833.195,252.441
229,2019-02-01,150095.0,,252.969
230,2019-03-01,150263.0,,254.147
231,2019-04-01,150482.0,18982.528,255.326
232,2019-05-01,150545.0,,255.371
233,2019-06-01,150720.0,,255.423
234,2019-07-01,150913.0,19112.653,255.925
235,2019-08-01,151108.0,,256.118
236,2019-09-01,151329.0,,256.532
237,2019-10-01,151524.0,19202.31,257.387
238,2019-11-01,151758.0,,257.989
239,2019-12-01,151919.0,,258.203
240,2020-01-01,152234.0,18951.992,258.687
241,2020-02-01,152523.0,,258.824
242,2020-03-01,150840.0,,257.989
243,2020-04-01,130161.0,17258.205,256.192
244,2020-05-01,132994.0,,255.942
245,2020-06-01,137840.0,,257.282
246,2020-07-01,139566.0,18560.774,258.604
247,2020-08-01,141149.0,,259.511
248,2020-09-01,141865.0,,260.149
249,2020-10-01,142545.0,18767.778,260.462
250,2020-11-01,142809.0,,260.927
251,2020-12-01,142503.0,,261.56
